Get Transaction Details,获取交易详情
%1$s Address Information,%1$s 地址信息
Are you sure you want to Hold the order?,您确定要将订单设置为保留状态吗？
Hold,保留
Are you sure you want to Release the order?,您确定要释放该订单吗？
Release,释放
Credentials Check,凭据检查
Card Type,卡类型
Card Number,卡号
Switch/Solo/Maestro Issue Number,Switch / Solo / Maestro 发行编号
Switch/Solo/Maestro Start Date,Switch / Solo / Maestro 起始日期
Your credentials were successfully confirmed!,您的凭据已成功验证！
Unable to perform request. Invalid data. %1$s,无法执行请求。数据无效。%1$s
The request method is missing.,缺少请求方法。
This request method is not supported.,不支持该请求方法。
Missing transaction id.,缺少交易 ID。
You put the order on hold.,您已将订单设置为保留状态。
You have released the order.,您已释放该订单。
Order ID: %1$d. Unexpected transaction status on returnUrl: %2$s,订单 ID：%1$d。returnUrl 返回了异常的交易状态：%2$s
"Thank you. Your order has been received, but we have encountered an issue when redirecting back. Please contact us for assistance.",“感谢您的下单。您的订单已收到，但在返回时遇到问题。请联系我们以获得帮助。”
"Payment of %1$s initiated. Transaction ID: ""%2$s""",已发起金额为 %1$s 的支付。交易 ID：“%2$s”
Order ID: %1$d. Order not found,订单 ID：%1$d。未找到订单
Order ID: %1$d. Transaction ID changed. Expected %2$s but found %3$s.,订单 ID：%1$d。交易 ID 已更改，期望为 %2$s，实际为 %3$s。
"Payment of %1$s declined/failed. Transaction ID: ""%2$s""",金额 %1$s 的支付被拒绝/失败。交易 ID：“%2$s”
Invalid request signature.,无效的请求签名。
"Canceled amount of %1$s by customer. Transaction ID: ""%2$s""",客户已取消金额 %1$s 的交易。交易 ID：“%2$s”
Order ID: %1$d. Unexpected transaction status on statusUrl: %2$s,订单 ID：%1$d。statusUrl 返回了异常的交易状态：%2$s
Add New Card,添加新卡
Global Payments Card successfully added.,Global Payments 卡已成功添加。
Something went wrong. Please try again later or use another card.,出现错误。请稍后再试或使用其他卡片。
Not enough data to perform 3DS. Unable to retrieve token.,数据不足，无法执行 3DS。未能获取令牌。
Please try again with another card.,请尝试使用其他卡片。
"You can enable only one Global Payments gateway at a time. Please check the configuration. No gateway enabled.",“一次只能启用一个 Global Payments 网关。请检查配置。目前未启用任何网关。”
"Sorry, but something went wrong",抱歉，发生了错误
AVS/CVV Declined!,AVS / CVV 被拒绝！
Invalid token,无效的令牌
3DS Authentication failed. Please try again.,3DS 验证失败。请重试。
Your order,您的订单
Gateway rejected the transaction.,网关拒绝了该交易。
"Authorized amount of %1$s. Transaction ID: ""%2$s""",已授权金额为 %1$s。交易 ID：“%2$s”
"Captured amount of %1$s online. Transaction ID: ""%2$s""",已在线扣取金额 %1$s。交易 ID：“%2$s”
Your payment was unsuccessful. Please try again or use a different payment method.,您的付款未成功。请重试或使用其他付款方式。
"An error occurred while processing the payment. Please try again or use a different payment method.",“处理付款时发生错误。请重试或使用其他付款方式。”
White,白色
White with Outline,白色（带描边）
Black,黑色
"A - Address matches, zip No Match",A - 地址匹配，邮编不匹配
N - Neither address or zip code match,N - 地址和邮编均不匹配
R - Retry - system unable to respond,R - 重试（系统无法响应）
U - Visa / Discover card AVS not supported,U - Visa / Discover 卡不支持 AVS
S - Master / Amex card AVS not supported,S - Master / Amex 卡不支持 AVS
"Z - Visa / Discover card 9-digit zip code match, address no match",Z - Visa / Discover 卡 9 位邮编匹配，地址不匹配
"W - Master / Amex card 9-digit zip code match, address no match",W - Master / Amex 卡 9 位邮编匹配，地址不匹配
Y - Visa / Discover card 5-digit zip code and address match,Y - Visa / Discover 卡 5 位邮编和地址均匹配
X - Master / Amex card 5-digit zip code and address match,X - Master / Amex 卡 5 位邮编和地址均匹配
G - Address not verified for International transaction,G - 国际交易地址未验证
"B - Address match, Zip not verified",B - 地址匹配，邮编未验证
C - Address and zip mismatch,C - 地址与邮编不匹配
D - Address and zip match,D - 地址与邮编匹配
I - AVS not verified for International transaction,I - 国际交易未验证 AVS
M - Street address and postal code matches,M - 街道地址与邮政编码匹配
P - Address and Zip not verified,P - 地址和邮编未验证
N - Not Matching,N - 不匹配
P - Not Processed,P - 未处理
S - Result not present,S - 无结果
U - Issuer not certified,U - 发卡行未认证
? - CVV unrecognized,? - CVV 无法识别
Off,关闭
Passive,被动
Active,启用
PAN_ONLY,PAN_ONLY
CRYPTOGRAM_3DS,CRYPTOGRAM_3DS
Authorize,授权
Charge,扣款
United States,美国
Canada,加拿大
Please check the Shipping address.,请检查收货地址。
Please check the Billing address.,请检查账单地址。
Zip/Postal Code is mandatory.,邮编为必填项。
Telephone is mandatory.,电话为必填项。
"Required parameter ""Global Payments_paymentgateway_gpApi"" for ""payment_method"" is missing.",缺少“payment_method”所需的参数“Global Payments_paymentgateway_gpApi”。
"Required parameter ""Global Payments_paymentgateway_gpApi_vault"" for ""payment_method"" is missing.",缺少“payment_method”所需的参数“Global Payments_paymentgateway_gpApi_vault”。
"Required parameter ""public_hash"" for ""Global Payments_vault"" is missing.",缺少“Global Payments_vault”所需的参数“public_hash”。
The current customer isnt authorized.,当前客户未获授权。
Invalid gift card. Please check the entered card details and try again.,礼品卡无效。请检查输入的卡信息后重试。
Pending Review,待审核
Held,已保留
FRAUD_MSG_LIST,FRAUD_MSG_LIST
PUBLIC_DATA,PUBLIC_DATA
Success,成功
Fraud,欺诈
This page is currently in sandbox/test mode. Do not use real/active card numbers.,当前页面处于沙箱/测试模式。请勿使用真实或有效的卡号。
Credit Card Number,信用卡号
Please enter a valid Credit Card Number,请输入有效的信用卡号
Credit Card Expiration Date,信用卡到期日期
Please enter a valid Credit Card Expiration Date,请输入有效的信用卡到期日期
Credit Card Security Code,信用卡安全码
Please enter a Credit Card Security Code,请输入信用卡安全码
Card Holder Name,持卡人姓名
Please enter a valid Card Holder Name,请输入有效的持卡人姓名
Save for later use,保存以供以后使用
ending,末尾
expires,到期
"There was something wrong, please try again later.",出现错误，请稍后重试。
Billing Address,账单地址
Shipping Address,收货地址
Global Payments Fraud Filter Result,Global Payments 欺诈过滤结果
Fraud Filter Mode,欺诈过滤模式
Fraud Filter Result,欺诈过滤结果
Fraud Filter Rules:,欺诈过滤规则：
Order ID,订单 ID
Result Code,结果代码
Auth Code,授权码
CVN Result,CVN 结果
AVS Address Result,AVS 地址结果
AVS Postcode Result,AVS 邮编结果
3D Secure Status,3D Secure 状态
My Payment Methods,我的支付方式
Expiration Date,到期日期
Type,类型
maskedCC,已屏蔽的卡号
expirationDate,到期日期
type,类型
Actions,操作
Delete,删除
You have no stored payment methods.,您没有已保存的支付方式。
Place Order,提交订单
Apple Pay Mark,Apple Pay 标识
Google Pay Mark,Google Pay 标识
PayPal Mark,PayPal 标识
Credit Card Information,信用卡信息
Apply Gift Card,使用礼品卡
Please enter Gift card number,请输入礼品卡号
Please enter Gift card Pin,请输入礼品卡 PIN
Remove Gift Card,移除礼品卡
Gift Card Number,礼品卡号
PIN,PIN
Bank Payment Mark,银行转账标识
ending in,末尾为
Transaction Id,交易 ID
Transaction Status,交易状态
Transaction Type,交易类型
Amount,金额
Currency,货币
BNPL Provider,先买后付（BNPL）服务商
Payment Type,支付类型
Provider Name,服务商名称
Close,关闭
There is already another Global Payments gateway enabled. Enable this gateway instead?,已有其他 Global Payments 网关处于启用状态。是否改为启用此网关？
This is a required field.,此为必填项。
Please enter an App ID,请输入 App ID
Please enter an App Key,请输入 App 密钥
Global Payments Credentials Check Failed,Global Payments 凭据验证失败
Were checking your credentials...,正在检查您的凭据……
Invalid gateway configuration.,网关配置无效。
Get Token,获取令牌
Were not able to process this payment. Please refresh the page and try again.,无法处理此付款。请刷新页面后重试。
Cancel,取消
Pay with Apple Pay,使用 Apple Pay 支付
Were unable to take your payment through Apple Pay. Please try again or use an alternative payment method.,无法通过 Apple Pay 完成付款。请重试或使用其他支付方式。
Please try again later or use another payment method,请稍后重试或使用其他支付方式
Orders,订单
Global Payments Get Transaction Details,Global Payments 获取交易详情
Global Payments Hold,Global Payments 保留
Global Payments Release,Global Payments 释放
"Global Payments (Heartland, Unified Payments & TSYS)",Global Payments（Heartland、统一支付 & TSYS）
Accept credit/debit cards in your Magento store. Your customers never leave your store to complete the purchase. Begin configuration and choose with which you were onboarded to access the correct gateway.,在您的 Magento 商店中接受信用卡/借记卡支付。客户无需离开您的商店即可完成购买。开始配置并选择您所接入的服务，以访问正确的网关。
"<div class=""card-brands""></div>","<div class=""card-brands""></div>"
Heartland<i>Connect to Heartlands Online Payments gateway</i>,Heartland<i>连接至 Heartland 在线支付网关</i>
"<a href=""https://developer.heartlandpaymentsystems.com/Account/Register"" target=""_blank"">Click here to sign up for SecureSubmit account","<a href=""https://developer.heartlandpaymentsystems.com/Account/Register"" target=""_blank"">点击此处注册 SecureSubmit 账户"
Enabled,已启用
Title,标题
Sandbox Mode,沙箱模式
Production Public API Key,生产环境公共 API 密钥
Production Secret API Key,生产环境机密 API 密钥
Sandbox Public API Key,沙箱公共 API 密钥
Sandbox Secret API Key,沙箱机密 API 密钥
Payment Action,支付操作
Allow Card Saving,允许保存卡信息
New Order Status,新订单状态
Debug,调试
Unified Payments<i>Connect to the Global Payments Unified Payments Gateway</i>,统一支付<i>连接至 Global Payments 统一支付网关</i>
"<a href=""https://developer.globalpay.com/user/register"" target=""_blank"">Register For a Global Payments Developer Account","<a href=""https://developer.globalpay.com/user/register"" target=""_blank"">注册 Global Payments 开发者账户"
Production App Id,生产环境 App ID
Production App Key,生产环境 App 密钥
Sandbox App Id,沙箱 App ID
Sandbox App Key,沙箱 App 密钥
Contact Url,联系网址
Order Transaction Descriptor,订单交易描述符
Fraud Mode,欺诈模式
Enable 3D Secure,启用 3D Secure
Sort Order,排序顺序
