Get Transaction Details,取得交易詳細資料
%1$s Address Information,%1$s 地址資訊
Are you sure you want to Hold the order?,您確定要將訂單設為保留狀態嗎？
Hold,保留
Are you sure you want to Release the order?,您確定要釋放此訂單嗎？
Release,釋放
Credentials Check,憑證檢查
Card Type,卡片類型
Card Number,卡號
Switch/Solo/Maestro Issue Number,Switch／Solo／Maestro 發卡號碼
Switch/Solo/Maestro Start Date,Switch／Solo／Maestro 起始日期
Your credentials were successfully confirmed!,您的憑證已成功確認！
Unable to perform request. Invalid data. %1$s,無法執行請求。資料無效。%1$s
The request method is missing.,缺少請求方法。
This request method is not supported.,不支援此請求方法。
Missing transaction id.,缺少交易 ID。
You put the order on hold.,您已將訂單設為保留狀態。
You have released the order.,您已釋放該訂單。
Order ID: %1$d. Unexpected transaction status on returnUrl: %2$s,訂單 ID：%1$d。於 returnUrl 發現非預期的交易狀態：%2$s
"Thank you. Your order has been received, but we have encountered an issue when redirecting back. Please contact us for assistance.",「感謝您，您的訂單已成功接收，但在重新導向時發生問題。請聯絡我們以取得協助。」
Payment of %1$s initiated. Transaction ID: '%2$s',已啟動金額為 %1$s 的付款。交易 ID：「%2$s」
Order ID: %1$d. Order not found,訂單 ID：%1$d。找不到訂單
Order ID: %1$d. Transaction ID changed. Expected %2$s but found %3$s.,訂單 ID：%1$d。交易 ID 已變更，預期為 %2$s，但實際為 %3$s。
Payment of %1$s declined/failed. Transaction ID: '%2$s',金額為 %1$s 的付款被拒絕／失敗。交易 ID：「%2$s」
Invalid request signature.,無效的請求簽章。
Canceled amount of %1$s by customer. Transaction ID: '%2$s',客戶已取消金額為 %1$s 的交易。交易 ID：「%2$s」
Order ID: %1$d. Unexpected transaction status on statusUrl: %2$s,訂單 ID：%1$d。於 statusUrl 發現非預期的交易狀態：%2$s
Add New Card,新增新卡片
Global Payments Card successfully added.,Global Payments 卡片已成功新增。
Something went wrong. Please try again later or use another card.,發生錯誤。請稍後再試，或使用其他卡片。
Not enough data to perform 3DS. Unable to retrieve token.,資料不足，無法執行 3DS。無法取得權杖。
Please try again with another card.,請改用其他卡片再試一次。
"You can enable only one Global Payments gateway at a time. Please check the configuration. No gateway enabled.",「一次僅能啟用一個 Global Payments 支付閘道。請檢查設定。目前未啟用任何閘道。」
"Sorry, but something went wrong",抱歉，發生錯誤
AVS/CVV Declined!,AVS／CVV 驗證失敗！
Invalid token,無效的權杖
3DS Authentication failed. Please try again.,3DS 驗證失敗。請再試一次。
Your order,您的訂單
Gateway rejected the transaction.,支付閘道拒絕了此交易。
Authorized amount of %1$s. Transaction ID: '%2$s',已授權金額 %1$s。交易 ID：「%2$s」
Captured amount of %1$s online. Transaction ID: '%2$s',已線上請款金額 %1$s。交易 ID：「%2$s」
Your payment was unsuccessful. Please try again or use a different payment method.,您的付款未成功。請再試一次或使用其他付款方式。
"An error occurred while processing the payment. Please try again or use a different payment method.",「處理付款時發生錯誤。請再試一次或使用其他付款方式。」
White,白色
White with Outline,白色（含外框）
Black,黑色
"A - Address matches, zip No Match",A－地址相符，郵遞區號不符
N - Neither address or zip code match,N－地址與郵遞區號皆不相符
R - Retry - system unable to respond,R－重試－系統無法回應
U - Visa / Discover card AVS not supported,U－Visa／Discover 卡不支援 AVS
